Antec EAG PRO 750W 80PLUS GOLD 모듈러 AONE,750,96500,ATX 파워/750W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/62A/4핀 IDE x3/SATA x8/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/케이블 연결식(전체)/대기전력 1W/프리볼트/80 PLUS/골드/깊이:140mm/무상 7년
Antec VP600P PLUS 80PLUS Standard 230V EU,600,50000,ATX 파워/600W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/46A/4핀 IDE x2/SATA x7/6+2핀 PCI-E x2/보조8핀(4+4) 커넥터/FDD 커넥터/80 PLUS/스탠다드/깊이:150mm/무상 3년
SuperFlower SF-650F14MT LEADEX SILVER ,650,85900,ATX 파워/정격 650W/20핀+4핀/140mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/54A/4핀 IDE x3/SATA x6/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/케이블 연결식/대기전력 1W/80 PLUS/실버/깊이:165mm/무상 7년
Antec NeoECO NE550C 80PLUS BRONZE,550,53000,"ATX 파워/정격 550W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/42A/4핀 IDE x3/SATA x8/6+2핀 PCI-E x2/보조8핀(4+4) 커넥터/FDD 커넥터/Reform 케이블/대기전력 1W/프리볼트/80 PLUS/브론즈/무상 3년, 유상 2년"
쿨러마스터 MasterWatt Lite 700 80PLUS Standard 230V EU,700,64000,ATX 파워/정격 700W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/54A/4핀 IDE x3/SATA x6/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/FDD 커넥터/80 PLUS/스탠다드/깊이:140mm/무상 5년
FSP Hydro K 600W 80PLUS BRONZE 230V EU,600,66500,ATX 파워/600W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/46A/4핀 IDE x3/SATA x10/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/FDD 커넥터/80 PLUS/브론즈/깊이:150mm/무상 5년
Antec EAG PRO 750W WHITE 80PLUS GOLD 모듈러 NEWRUN,750,98000,ATX 파워/750W/20핀+4핀/120mm 팬/1개(팬)/+12V 싱글레일/62A/4핀 IDE x3/SATA x8/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/케이블 연결식(전체)/대기전력 1W/프리볼트/80 PLUS/골드/깊이:140mm/무상 7년
쿨러마스터 MWE 650 80PLUS BRONZE 프리볼트,650,65900,ATX 파워/정격 650W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/54A/4핀 IDE x4/SATA x8/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/FDD 커넥터/프리볼트/80 PLUS/브론즈/깊이:140mm/무상 5년
마이크로닉스 Cyclone III 500W After Cooling,500,37490,ATX 파워/500W/24핀 전용/120mm 팬/1개(팬)/+12V 싱글레일/41.5A/4핀 IDE x3/SATA x5/6+2핀 PCI-E x2/보조8핀(4+4) 커넥터/FDD 커넥터/대기전력 1W/깊이:140mm/무상 5년
SuperFlower SF-500P14MS SILVER ECO 90+,500,56500,ATX 파워/정격 500W/20핀+4핀/128mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/41.6A/4핀 IDE x3/SATA x5/6+2핀 PCI-E x2/보조8핀(4+4) 커넥터/케이블 연결식/80 PLUS/실버/깊이:150mm/무상 7년
SuperFlower SF-750F14MT LEADEX SILVER,750,112000,ATX 파워/정격 750W/20핀+4핀/140mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/62.4A/4핀 IDE x4/SATA x9/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/케이블 연결식/대기전력 1W/80 PLUS/실버/깊이:165mm/무상 7년
시소닉 S12II-620 80PLUS 브론즈,620,69000,"ATX 파워/정격 620W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 다중레일/24A, 24A/4핀 IDE x4/SATA x8/6+2핀 PCI-E x2/보조8핀(4+4) 커넥터/FDD 커넥터/Reform 케이블/플랫케이블/80 PLUS/브론즈/무상 5년"
SuperFlower SF-600R12A NOVA 80PLUS,600,52300,ATX 파워/정격 600W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/46A/4핀 IDE x4/SATA x6/6+2핀 PCI-E x2/보조8핀(4+4) 커넥터/대기전력 1W/플랫케이블/80 PLUS/스탠다드/깊이:140mm/무상 5년
아이구주 ELPIS SP-500EL,500,31810,"ATX 파워/정격 500W/20핀+4핀/120mm 팬/1개(팬)/+12V 다중레일/20A, 20A/4핀 IDE x3/SATA x5/6+2핀 PCI-E x2/보조8핀(4+4) 커넥터/Reform 케이블/대기전력 1W/무상 3년"
쿨러마스터 MWE 550 80PLUS BRONZE 프리볼트,550,52700,ATX 파워/정격 550W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/43A/4핀 IDE x3/SATA x4/6+2핀 PCI-E x2/보조8핀(4+4) 커넥터/FDD 커넥터/프리볼트/80 PLUS/브론즈/깊이:140mm/무상 5년
FSP Hydro PTM 650W 80PLUS PLATINUM,650,134800,ATX 파워/정격 650W/24핀 전용/135mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/54A/4핀 IDE x3/SATA x12/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/FDD 커넥터/케이블 연결식/플랫케이블/프리볼트/80 PLUS/플레티넘/깊이:170mm/무상 10년
마이크로닉스 Compact SFX-L 700W 80Plus Platinum,700,176500,M-ATX(SFX) 파워/700W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/58.4A/4핀 IDE x3/SATA x9/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/FDD 커넥터/케이블 연결식/대기전력 1W/플랫케이블/프리볼트/80 PLUS/플레티넘/무상 5년/깊이:135mm
쿨러마스터 MWE 400W 80PLUS Standard 230V EU,400,36500,ATX 파워/400W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/30A/4핀 IDE x4/SATA x3/6+2핀 PCI-E x2/보조8핀(4+4) 커넥터/Reform 케이블/대기전력 1W/80 PLUS/스탠다드/깊이:150mm/무상 5년
마이크로닉스 New Performance 700W 80Plus Bronze Change-up,700,86500,ATX 파워/정격 700W/20핀+4핀/135mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/52.5A/4핀 IDE x4/SATA x6/6+2핀 PCI-E x2/보조8핀 커넥터/보조4핀 커넥터/FDD 커넥터/Reform 케이블/대기전력 1W/80 PLUS/브론즈/깊이:160mm/무상 3년
FSP HEXA 85+ 550W 80PLUS BRONZE 프리볼트,550,57000,ATX 파워/정격 550W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/45.8A/4핀 IDE x2/SATA x8/6+2핀 PCI-E x4/보조8핀 커넥터/FDD 커넥터/프리볼트/80 PLUS/브론즈/깊이:140mm/무상5년
쿨러마스터 MWE GOLD 650 FULL MODULAR,650,89000,ATX 파워/650W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/54.1A/4핀 IDE x6/SATA x8/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/FDD 커넥터/케이블 연결식/대기전력 1W/프리볼트/80 PLUS/골드/깊이:160mm/무상 5년
시소닉 PRIME Ultra Titanium SSR-1000TR Full Modular,1000,368470,ATX 파워/1000W/20핀+4핀/135mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/83A/4핀 IDE x5/SATA x14/6+2핀 PCI-E x8/보조8핀(4+4) 커넥터/FDD 커넥터/수동 팬 조절/Reform 케이블/케이블 연결식/대기전력 1W/플랫케이블/프리볼트/80 PLUS/티타늄/깊이:170mm/무상 12년
Antec VP500P PLUS 80PLUS Standard 230V EU,500,40500,ATX 파워/500WW/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/38A/4핀 IDE x2/SATA x7/6+2핀 PCI-E x2/보조8핀(4+4) 커넥터/FDD 커넥터/80 PLUS/스탠다드/깊이:150mm/무상 3년
마이크로닉스 Cyclone III 400W After Cooling,400,34110,ATX 파워/400W/24핀 전용/120mm 팬/1개(팬)/+12V 싱글레일/33.2A/4핀 IDE x3/SATA x4/6+2핀 PCI-E x2/보조8핀(4+4) 커넥터/대기전력 1W/깊이:140mm/무상 5년
SuperFlower SF-500R12A NOVA 80PLUS,500,42200,ATX 파워/정격 500W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/37.5A/4핀 IDE x4/SATA x6/6+2핀 PCI-E x2/보조8핀(4+4) 커넥터/대기전력 1W/플랫케이블/80 PLUS/스탠다드/깊이:140mm/무상 5년
쿨러마스터 MasterWatt Lite 600 80PLUS Standard 230V EU,600,51000,ATX 파워/정격 600W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/46A/4핀 IDE x3/SATA x6/6+2핀 PCI-E x2/보조8핀(4+4) 커넥터/FDD 커넥터/80 PLUS/스탠다드/깊이:140mm/무상 5년
Antec EAG PRO 750W 80PLUS GOLD 모듈러 NEWRUN,750,97000,ATX 파워/750W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/62A/4핀 IDE x3/SATA x8/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/케이블 연결식(전체)/대기전력 1W/프리볼트/80 PLUS/골드/깊이:140mm/무상 7년
마이크로닉스 CASLON 700W After Cooling 87+ FDB,700,86700,ATX 파워/정격 700W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/52.5A/4핀 IDE x4/SATA x6/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/보조4핀 커넥터/FDD 커넥터/Reform 케이블/대기전력 1W/깊이:140mm/무상 3년
시소닉 PRIME Ultra Titanium SSR-850TR Full Modular,850,313000,ATX 파워/850W/20핀+4핀/135mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/70A/4핀 IDE x5/SATA x10/6+2핀 PCI-E x6/보조8핀(4+4) 커넥터/FDD 커넥터/수동 팬 조절/Reform 케이블/케이블 연결식/대기전력 1W/플랫케이블/프리볼트/80 PLUS/티타늄/깊이:170mm/무상 12년
SuperFlower SF-600R14SE Silver Green FX,600,75800,ATX 파워/정격 600W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/49.5A/4핀 IDE x4/SATA x5/6+2핀 PCI-E x2/보조8핀(4+4) 커넥터/Reform 케이블/대기전력 1W/프리볼트/80 PLUS/실버/깊이:145mm/무상 7년
FSP HEXA 85+ 650W 80PLUS BRONZE 프리볼트,650,68000,ATX 파워/정격 650W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/54.2A/4핀 IDE x2/SATA x8/6+2핀 PCI-E x4/보조8핀 커넥터/FDD 커넥터/프리볼트/80 PLUS/브론즈/깊이:140mm/무상5년
SuperFlower SF-1600F14HT LEADEX TITANIUM,1600,530000,ATX 파워/정격 1600W/20핀+4핀/140mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/133.3A/4핀 IDE x5/SATA x14/6핀 PCI-E x5/6+2핀 PCI-E x9/보조8핀(4+4) 커넥터/FDD 커넥터/케이블 연결식/대기전력 1W/플랫케이블/프리볼트/80 PLUS/티타늄/깊이:225mm/무상 7년
FSP Hydro K 500W 80PLUS BRONZE 230V EU,500,51700,ATX 파워/500W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/38A/4핀 IDE x3/SATA x7/6+2핀 PCI-E x2/보조8핀(4+4) 커넥터/FDD 커넥터/80 PLUS/브론즈/깊이:150mm/무상 5년
FSP Hydro G 750W,750,132600,ATX 파워/정격 750W/20핀+4핀/135mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/62.5A/4핀 IDE x6/SATA x12/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/FDD 커넥터/케이블 연결식/플랫케이블/프리볼트/80 PLUS/골드/깊이:170mm/무상 5년
FSP Hydro GE 650W Black 80PLUS GOLD,650,99000,ATX 파워/650W/20핀+4핀/135mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/54.16A/4핀 IDE x3/SATA x12/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/FDD 커넥터/케이블 연결식/플랫케이블/프리볼트/80 PLUS/골드/깊이:170mm/무상 5년
FSP Hydro GE 650W White 80PLUS GOLD,650,98000,ATX 파워/정격 650W/20핀+4핀/135mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/54A/4핀 IDE x3/SATA x12/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/FDD 커넥터/케이블 연결식/플랫케이블/프리볼트/80 PLUS/골드/깊이:170mm/무상 5년
마이크로닉스 Cyclone III 600W After Cooling,600,44000,ATX 파워/600W/24핀 전용/120mm 팬/1개(팬)/+12V 싱글레일/49.9A/4핀 IDE x3/SATA x5/6+2핀 PCI-E x2/보조8핀(4+4) 커넥터/FDD 커넥터/대기전력 1W/깊이:140mm/무상 5년
