Toshiba 2TB P300 HDWD120 (SATA3/7200/64M),2000,64000,HDD (PC용)/8.9cm (3.5형)/2TB/SATA3 (6Gb/s)/7,200RPM/메모리 64MB/두께:26.1mm/DSA/소음(유휴/탐색): 27/28dB /2년/충격 감지센서/램프로딩 기술
Toshiba 4TB X300 HDWE140 (SATA3/7200/128M),4000,134400,HDD (PC용)/8.9cm (3.5형)/4TB/SATA3 (6Gb/s)/7,200RPM/메모리 128MB/두께:26.1mm/DSA/소음(유휴/탐색): 31dB /2년/충격 감지센서/램프로딩 기술
Toshiba 3TB P300 HDWD130 (SATA3/7200/64M),3000,95000,HDD (PC용)/8.9cm (3.5형)/3TB/SATA3 (6Gb/s)/7,200RPM/메모리 64MB/두께:26.1mm/DSA/소음(유휴/탐색): 27/28dB /2년/충격 감지센서/램프로딩 기술
Toshiba 3TB DT01ACA300 (SATA3/7200/64M),3000,88600,HDD (PC용)/8.9cm (3.5형)/3TB/SATA3(6Gb/s)/7,200RPM/메모리 64MB/두께:26.1mm/소음(유휴/탐색): 27/28dB /2년/680g
Toshiba 1TB P300 HDWD110 (SATA3/7200/64M),1000,51000,HDD (PC용)/8.9cm (3.5형)/1TB/SATA3 (6Gb/s)/7,200RPM/메모리 64MB/두께:26.1mm/소음(유휴/탐색): 25/26dB /2년/충격 감지센서/램프로딩 기술
Toshiba 1TB DT01ACA100 (SATA3/7200/32M),1000,47500,HDD (PC용)/8.9cm (3.5형)/1TB/SATA3(6Gb/s)/7,200RPM/메모리 32MB/두께:26.1mm/소음(유휴/탐색): 25/26dB /2년/450g
Toshiba 1TB DT01ACA100 (SATA3/7200/64M),1000,47730,HDD (PC용)/8.9cm (3.5형)/1TB/SATA3(6Gb/s)/7,200RPM/메모리 64MB/소음(유휴/탐색): 25/26dB /2년/무게: 450g
Toshiba 2TB DT01ACA200 (SATA3/7200/64M),2000,67000,HDD (PC용)/8.9cm (3.5형)/2TB/SATA3(6Gb/s)/7,200RPM/메모리 64MB/두께:26.1mm/소음(유휴/탐색): 27/28dB /2년/680g
Toshiba 500GB DT01ACA050 (SATA3/7200/32M),500,40600,HDD (PC용)/8.9cm (3.5형)/500GB/SATA3(6Gb/s)/7,200RPM/메모리 32MB/두께:26.1mm/소음(유휴/탐색): 25/26dB /2년/450g
Toshiba 8TB X300 HDWR180 (SATA3/7200/256M),8000,317800,HDD (PC용)/8.9cm (3.5형)/8TB/SATA3 (6Gb/s)/7,200RPM/메모리 256MB/두께:26.1mm/DSA/소음(유휴/탐색): 33dB /2년/충격 감지센서/램프로딩 기술
Toshiba 4TB MD04ACA400 (SATA3/7200/128M),4000,137400,HDD (PC용)/8.9cm (3.5형)/4TB/SATA3(6Gb/s)/7,200RPM/메모리 128MB/두께:26.1mm/소음(유휴/탐색): 31/34dB /2년
Toshiba 10TB X300 HDWR11A (SATA3/7200/256M),10000,389500,HDD (PC용)/8.9cm (3.5형)/10TB/SATA3 (6Gb/s)/7,200RPM/메모리 256MB/두께:26.1mm/DSA/소음(유휴/탐색): 34dB /2년/충격 감지센서/램프로딩 기술
Toshiba 5TB MD04ACA500 (SATA3/7200/128M),5000,180040,HDD (PC용)/8.9cm (3.5형)/5TB/SATA3(6Gb/s)/7,200RPM/메모리 128MB/두께:26.1mm/소음(유휴/탐색): 31/34dB /2년
Toshiba 500GB P300 DT01ACA050 (SATA3/7200/64M),500,42000,HDD (PC용)/8.9cm (3.5형)/500GB/SATA3 (6Gb/s)/7,200RPM/메모리 64MB/두께:26.1mm/소음(유휴/탐색): 25/26dB /2년/충격 감지센서/램프로딩 기술
Toshiba 6TB X300 HDWE160 (SATA3/7200/128M),6000,239000,HDD (PC용)/8.9cm (3.5형)/6TB/SATA3 (6Gb/s)/7,200RPM/메모리 128MB/두께:26.1mm/DSA/소음(유휴/탐색): 34dB /2년/충격 감지센서/램프로딩 기술
Toshiba 6TB MD04ACA600 (SATA3/7200/128M),6000,238700,HDD (PC용)/8.9cm (3.5형)/6TB/SATA3(6Gb/s)/7,200RPM/메모리 128MB/두께:26.1mm/소음(유휴/탐색): 34/35dB /2년
Toshiba 500GB DT01ACA050 (SATA3/7200/64M),500,43630,HDD (PC용)/8.9cm (3.5형)/500GB/SATA3(6Gb/s)/7,200RPM/메모리 64MB/소음(유휴/탐색): 25/26dB /2년/무게: 450g
Toshiba 500GB DT01ACA50 (SATA3/7200/32M),500,46320,HDD (PC용)/8.9cm (3.5형)/500GB/SATA3(6Gb/s)/7,200RPM/메모리 32MB/두께:26.1mm
Toshiba 5TB X300 HDWE150 (SATA3/7200/128M),5000,172200,HDD (PC용)/8.9cm (3.5형)/5TB/SATA3 (6Gb/s)/7,200RPM/메모리 128MB/두께:26.1mm/DSA/소음(유휴/탐색): 31dB /2년/충격 감지센서/램프로딩 기술
HGST 6TB Ultrastar He8 HUH728060ALE600(SATA3/7200/128M),6000,328240,HDD (PC용)/8.9cm (3.5형)/6TB/SATA3(6Gb/s)/7,200RPM/메모리 128MB/두께:26.1mm/RV센서/저전력/5년/MTBF: 2,500,000시간
HGST 4TB Deskstar HDS724040ALE640 (SATA3/7200/64M),4000,217030,HDD (PC용)/8.9cm (3.5형)/4TB/SATA3(6Gb/s)/7,200RPM/메모리 64MB/두께:26.1mm/2년/DAS 사용 지원/서버 스토리지 지원/RAID 지원/빅데이터 서버 지원/영상편집스토리지 사용 지원
HGST 2TB Deskstar 7K3000 HDS723020BLA642 (SATA3/7200/64M),2000,264990,HDD (PC용)/8.9cm (3.5형)/2TB/SATA3(6Gb/s)/7,200RPM/메모리 64MB/두께:26.1mm
HGST 1TB Deskstar 7K1000.C HDS721010CLA632 (SATA3/7200/32M),1000,123130,HDD (PC용)/8.9cm (3.5형)/1TB/SATA3(6Gb/s)/7,200RPM/메모리 32MB/두께:26.1mm
