마이크론 Crucial MX500 아스크텍,2000,477600,내장형SSD/2.5형(6.4cm)/SATA3 (6Gb/s)/TLC(기타)/3D낸드/실리콘모션 SM2258/최대 560MB/s/최대 510MB/s/1,800,000시간/TRIM 지원/GC 기능/S.M.A.R.T 지원/ECC 지원/DEVSLP 지원/7mm/5년/전용 소프트웨어 
마이크론 Crucial MX500 M.2 2280 대원CTS,250,60000,장형SSD/M.2 (2280)/SATA3 (6Gb/s)/TLC(기타)/3D낸드/실리콘모션 SM2258/최대 560MB/s/최대 510MB/s/1,800,000시간/TRIM 지원/GC 기능/S.M.A.R.T 지원/ECC 지원/DEVSLP 지원/2.25mm/5년/전용 소프트웨어 
마이크론 Crucial MX500 M.2 2280 대원CTS,500,105000,장형SSD/M.2 (2280)/SATA3 (6Gb/s)/TLC(기타)/3D낸드/실리콘모션 SM2258/최대 560MB/s/최대 510MB/s/1,800,000시간/TRIM 지원/GC 기능/S.M.A.R.T 지원/ECC 지원/DEVSLP 지원/2.25mm/5년/전용 소프트웨어 
마이크론 Crucial MX500 M.2 2280 대원CTS,1000,225800,장형SSD/M.2 (2280)/SATA3 (6Gb/s)/TLC(기타)/3D낸드/실리콘모션 SM2258/최대 560MB/s/최대 510MB/s/1,800,000시간/TRIM 지원/GC 기능/S.M.A.R.T 지원/ECC 지원/DEVSLP 지원/2.25mm/5년/전용 소프트웨어 
ADATA Ultimate SU650 SHT,120,24900,내장형SSD/2.5형(6.4cm)/SATA3 (6Gb/s)/확인 요망/3D낸드/최대 520MB/s/최대 320MB/s/2,000,000시간/ECC 지원/SLC 캐싱/7mm/47.5g/3년/전용 소프트웨어 
ADATA Ultimate SU650 SHT,240,43300,내장형SSD/2.5형(6.4cm)/SATA3 (6Gb/s)/확인 요망/3D낸드/최대 520MB/s/최대 320MB/s/2,000,000시간/ECC 지원/SLC 캐싱/7mm/47.5g/3년/전용 소프트웨어 
ADATA Ultimate SU650 SHT,480,84910,내장형SSD/2.5형(6.4cm)/SATA3 (6Gb/s)/확인 요망/3D낸드/최대 520MB/s/최대 320MB/s/2,000,000시간/ECC 지원/SLC 캐싱/7mm/47.5g/3년/전용 소프트웨어 
마이크론 Crucial BX500 대원CTS,120,24700,내장형SSD/2.5형(6.4cm)/SATA3 (6Gb/s)/3D낸드/최대 540MB/s/최대 500MB/s/1,500,000시간/TRIM 지원/S.M.A.R.T 지원/ECC 지원/SLC 캐싱/7mm/55g/3년/전용 소프트웨어 
마이크론 Crucial BX500 대원CTS,240,42200,내장형SSD/2.5형(6.4cm)/SATA3 (6Gb/s)/3D낸드/최대 540MB/s/최대 500MB/s/1,500,000시간/TRIM 지원/S.M.A.R.T 지원/ECC 지원/SLC 캐싱/7mm/55g/3년/전용 소프트웨어 
마이크론 Crucial BX500 대원CTS,480,81600,내장형SSD/2.5형(6.4cm)/SATA3 (6Gb/s)/3D낸드/최대 540MB/s/최대 500MB/s/1,500,000시간/TRIM 지원/S.M.A.R.T 지원/ECC 지원/SLC 캐싱/7mm/55g/3년/전용 소프트웨어 
ADATA Ultimate SU800 M.2 2280 STCOM,128,38500,내장형SSD/M.2 (2280)/SATA3 (6Gb/s)/TLC(기타)/3D낸드/실리콘모션/최대 560MB/s/최대 520MB/s/2,000,000시간/TRIM 지원/S.M.A.R.T 지원/ECC 지원/DEVSLP 지원/SLC 캐싱/3.5mm/3년/전용 소프트웨어 
ADATA Ultimate SU800 M.2 2280 STCOM,256,62000,내장형SSD/M.2 (2280)/SATA3 (6Gb/s)/TLC(기타)/3D낸드/실리콘모션/최대 560MB/s/최대 520MB/s/2,000,000시간/TRIM 지원/S.M.A.R.T 지원/ECC 지원/DEVSLP 지원/SLC 캐싱/3.5mm/3년/전용 소프트웨어 
ADATA Ultimate SU800 M.2 2280 STCOM,512,107100,내장형SSD/M.2 (2280)/SATA3 (6Gb/s)/TLC(기타)/3D낸드/실리콘모션/최대 560MB/s/최대 520MB/s/2,000,000시간/TRIM 지원/S.M.A.R.T 지원/ECC 지원/DEVSLP 지원/SLC 캐싱/3.5mm/3년/전용 소프트웨어 
ADATA Ultimate SU800 M.2 2280 STCOM,1000,240800,내장형SSD/M.2 (2280)/SATA3 (6Gb/s)/TLC(기타)/3D낸드/실리콘모션/최대 560MB/s/최대 520MB/s/2,000,000시간/TRIM 지원/S.M.A.R.T 지원/ECC 지원/DEVSLP 지원/SLC 캐싱/3.5mm/3년/전용 소프트웨어 
Western Digital WD Blue 3D M.2 2280,250,60700,내장형SSD/M.2 (2280)/SATA3 (6Gb/s)/확인 요망/3D낸드/마벨/최대 550MB/s/최대 525MB/s/1,750,000시간/TRIM 지원/S.M.A.R.T 지원/2.38mm/8g/5년/전용 소프트웨어 
