TeamGroup DDR4 8G PC4-19200 Elite,8,63500,DDR4/PC용/1ea/미포함/Dimm/8GB/2,400MHz/1.20V/메모리 타이밍 : 16-16-16-39
TeamGroup T-Force DDR4 32G PC4-25600 CL16 DARK Gray (16Gx2),32,386800,DDR4/PC용/2ea/포함/Dimm/32GB/3,200MHz/1.35V/XMP/메모리 타이밍 : 16-18-18-38
TeamGroup DDR4 16G PC4-19200 Elite,16,130000,DDR4/PC용/1ea/미포함/Dimm/16GB/2,400MHz/1.20V/메모리 타이밍 : 16-16-16-39
TeamGroup DDR4 4G PC4-19200 New Elite Plus Black Gold,4,35300,DDR4/PC용/1ea/포함/Dimm/4GB/2,400MHz/1.20V/메모리 타이밍 : 16-16-16-39
TeamGroup T-Force DDR4 16G PC4-21300 CL15 DARK Red,16,157240,DDR4/PC용/1ea/포함/Dimm/16GB/2,666MHz/1.20V/XMP/메모리 타이밍 : 15-17-17-35
TeamGroup T-Force DDR4 16G PC4-21300 CL15 Delta RGB (8Gx2),16,189000,DDR4/PC용/2ea/포함/Dimm/16GB/2,666MHz/1.20V/XMP/LED 라이트/AURA SYNC/메모리 타이밍 : 15-17-17-35
TeamGroup DDR4 8G PC4-21300 New Elite Plus Black Gold,8,67500,DDR4/PC용/1ea/포함/Dimm/8GB/2,666MHz/1.20V/메모리 타이밍 : 19-19-19-43
TeamGroup DDR4 8G PC4-21300 Elite,8,65000,DDR4/PC용/1ea/미포함/Dimm/8GB/2,666MHz/1.20V/메모리 타이밍 : 19-19-19-43
TeamGroup DDR4 8G PC4-19200 CL16 Delta White,8,71000,DDR4/PC용/1ea/포함/Dimm/8GB/2,400MHz/1.20V/LED 라이트/메모리 타이밍 : 16-16-16-39
TeamGroup DDR4 4G PC4-19200 Elite,4,33000,DDR4/PC용/1ea/미포함/Dimm/4GB/2,400MHz/1.20V/메모리 타이밍 : 16-16-16-39
TeamGroup DDR4 16G PC4-21300 Elite,16,133000,DDR4/PC용/1ea/미포함/Dimm/16GB/2,666MHz/1.20V/메모리 타이밍 : 19-19-19-43
TeamGroup DDR4 16G PC4-19200 CL16 Delta Red,16,148000,DDR4/PC용/1ea/포함/Dimm/16GB/2,400MHz/1.20V/LED 라이트/메모리 타이밍 : 16-16-16-39
TeamGroup DDR4 8G PC4-19200 CL16 Delta Red,8,71000,DDR4/PC용/1ea/포함/Dimm/8GB/2,400MHz/1.20V/LED 라이트/메모리 타이밍 : 16-16-16-39
TeamGroup T-Force DDR4 16G PC4-24000 CL16 Delta RGB 화이트 (8Gx2),16,199000,DDR4/PC용/2ea/포함/Dimm/16GB/3,000MHz/1.35V/XMP/LED 라이트/AURA SYNC/메모리 타이밍 : 16-18-18-36
TeamGroup T-Force DDR4 16G PC4-24000 CL16 DARK Red (8Gx2),16,170950,DDR4/PC용/2ea/포함/Dimm/16GB/3,000MHz/1.35V/XMP/메모리 타이밍 : 16-18-18-38
TeamGroup T-Force DDR4 8G PC4-21300 CL15 Delta RGB (4Gx2),8,103000,DDR4/PC용/2ea/포함/Dimm/8GB/2,666MHz/1.20V/XMP/LED 라이트/AURA SYNC/메모리 타이밍 : 15-17-17-35
TeamGroup T-Force DDR4 16G PC4-24000 CL16 DARK Gray (8Gx2),16,170950,DDR4/PC용/2ea/포함/Dimm/16GB/3,000MHz/1.35V/XMP/메모리 타이밍 : 16-18-18-38
TeamGroup T-Force DDR4 32G PC4-25600 CL16 Night Hawk RGB (16Gx2),32,471070,DDR4/PC용/2ea/포함/Dimm/32GB/3,200MHz/1.35V/XMP/LED 라이트/AURA SYNC/메모리 타이밍 : 16-18-18-38
TeamGroup T-Force DDR4 32G PC4-21300 CL15 Night Hawk Red (16Gx2),32,329000,DDR4/PC용/2ea/포함/Dimm/32GB/2,666MHz/1.20V/XMP/LED 라이트/메모리 타이밍 : 15-17-17-35
