ASUS TUF Z370-PRO GAMING iBORA,1151v2,178000,인텔(소켓1151v2)/(인텔) Z370/ATX (30.5x24.4cm)/DDR4/메모리 용량:최대 64GB/XMP/옵테인/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X,SLI/PCIe 슬롯:6개/SATA3:6개/M.2 슬롯:2개/8ch/그래픽 출력:DVI,HDMI/PS/2:콤보 1개/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 4개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI/LED 라이트
ASUS ROG STRIX B360-F GAMING iBORA,1151v2,144100,인텔(소켓1151v2)/(인텔) B360/ATX (30.5x24.4cm)/DDR4/메모리 용량:최대 64GB/XMP/옵테인/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X/PCIe 슬롯:6개/SATA3:6개/M.2 슬롯:2개/8ch/그래픽 출력:DVI,HDMI,DP/PS/2:콤보 1개/USB 2.0:후면 4개/USB 3.1 Gen 2:후면 3개/기가비트 LAN/UEFI/VR Ready/LED 라이트/LED 헤더/AURA SYNC
ASUS PRIME H370M-PLUS 코잇,1151v2,132000,인텔(소켓1151v2)/(인텔) H370/M-ATX (24.4x24.4cm)/전원부: 6페이즈/DDR4/메모리 용량:최대 64GB/XMP/옵테인/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X/PCIe 슬롯:4개/SATA3:6개/M.2 슬롯:2개/8ch/그래픽 출력:D-SUB,DVI,HDMI/PS/2:콤보 1개/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 3개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI/VR Ready
ASUS Z10PA-D8 STCOM,2011-V3,454000,인텔(소켓2011-V3)/(인텔) C612/일반-ATX (30.5 x 24.4cm)/DDR4/메모리 용량:최대 128GB 이상/M.2 슬롯:1개/그래픽 출력:D-SUB/PS/2:콤보 1개/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 2개/기가비트 LAN
ASUS PRIME H310-PLUS 코잇,1151v2,103960,인텔(소켓1151v2)/(인텔) H310/ATX (30.5x19.1cm)/전원부: 5페이즈/DDR4/메모리 용량:최대 32GB/XMP/PCIe 슬롯:3개/SATA3:4개/M.2 슬롯:1개/8ch/그래픽 출력:D-SUB,HDMI/PS/2:콤보 1개/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 2개/기가비트 LAN/UEFI/VR Ready/LED 라이트/LED 헤더/AURA SYNC
ASUS PRIME B360M-C iBORA,1151v2,109040,인텔(소켓1151v2)/(인텔) B360/M-ATX (24.4x24.4cm)/DDR4/메모리 용량:최대 64GB/XMP/옵테인/VGA 연결:PCIe3.0 x16/PCIe 슬롯:3개/SATA3:6개/M.2 슬롯:2개/8ch/그래픽 출력:D-SUB,HDMI,DP/PS/2:2개/USB 2.0:후면 2개/USB 3.1 Gen 2:후면 4개/기가비트 LAN/UEFI
ASRock H310CM-HDVP2 에즈윈 (벌크),1151v2,78500,인텔(소켓1151v2)/(인텔) H310/M-ATX (24.4x18.8cm)/전원부: 4페이즈/DDR4/메모리 용량:최대 32GB/XMP/VGA 연결:PCIe3.0 x16/PCIe 슬롯:3개/SATA3:4개/M.2 슬롯:1개/7.1ch/그래픽 출력:D-SUB,DVI/PS/2:2개/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 2개/기가비트 LAN
ASUS PRIME Z370-A II iBORA,1151v2,231900,인텔(소켓1151v2)/(인텔) Z370/ATX (30.5x24.4cm)/DDR4/메모리 용량:최대 64GB/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X,SLI/PCIe 슬롯:7개/SATA3:6개/M.2 슬롯:1개/8ch/그래픽 출력:DVI,HDMI,DP/PS/2: 없음/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 2개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI/LED 헤더/AURA SYNC
ASUS PRIME X370-PRO 코잇,AM4,190500,AMD(소켓AM4)/(AMD) X370/일반-ATX (30.5 x 24.4cm)/전원부: 10페이즈/DDR4/메모리 용량:최대 64GB/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X,SLI/PCIe 슬롯:6개/SATA3:8개/M.2 슬롯:1개/8ch/그래픽 출력:HDMI,DP/PS/2:콤보 1개/USB 3.1 Gen 1:후면 6개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI/AURA SYNC
ASRock B360M PRO4 디앤디컴 (벌크),1151v2,93400,인텔(소켓1151v2)/(인텔) B360/M-ATX (24.4x24.4cm)/전원부: 10페이즈/DDR4/메모리 용량:최대 64GB/XMP/옵테인/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X/PCIe 슬롯:4개/SATA3:6개/M.2 슬롯:3개/7.1ch/그래픽 출력:D-SUB,DVI,HDMI/PS/2:2개/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 2개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI
ASUS ROG MAXIMUS X HERO iBORA,1151v2,455070,인텔(소켓1151v2)/(인텔) Z370/ATX (30.5x24.4cm)/DDR4/메모리 용량:최대 64GB/XMP/옵테인/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X,SLI/PCIe 슬롯:6개/SATA3:6개/M.2 슬롯:2개/8ch/그래픽 출력:HDMI,DP/PS/2: 없음/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 4개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI/AURA SYNC
ASUS ROG STRIX H370-I GAMING 코잇,1151v2,171000,인텔(소켓1151v2)/(인텔) H370/M-iTX (17.0x17.0cm)/DDR4/메모리 용량:최대 32GB/XMP/옵테인/VGA 연결:PCIe3.0 x16/PCIe 슬롯:1개/SATA3:4개/M.2 슬롯:2개/8ch/그래픽 출력:HDMI,DP/PS/2: 없음/USB 3.1 Gen 1:후면 4개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/듀얼 LAN/무선 LAN/블루투스/UEFI/VR Ready/LED 라이트/LED 헤더/AURA SYNC
GIGABYTE X299 UD4 PRO 듀러블에디션 피씨디렉트,2066,306000,인텔(소켓2066)/(인텔) X299/ATX (30.5x24.4cm)/전원부: 8페이즈/DDR4/메모리 용량:최대 128GB/XMP/옵테인/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X,SLI/SATA3:8개/M.2 슬롯:2개/7.1ch/PS/2:콤보 1개/USB 3.1 Gen 1:후면 6개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI/VR Ready/LED 라이트/LED 헤더/RGB FUSION
ASRock AB350M-HDV 에즈윈,AM4,83000,AMD(소켓AM4)/(AMD) B350/M-ATX (23.1x20.6cm)/전원부: 7페이즈/DDR4/메모리 용량:최대 32GB/VGA 연결:PCIe3.0 x16/PCIe 슬롯:2개/SATA3:4개/M.2 슬롯:1개/7.1ch/그래픽 출력:D-SUB,DVI,HDMI/PS/2:콤보 1개/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 4개/기가비트 LAN
ASUS PRIME A320M-E STCOM,AM4,119000,AMD(소켓AM4)/(AMD) A320/M-ATX (22.6x22.1cm)/DDR4/메모리 용량:최대 32GB/PCIe 슬롯:3개/SATA3:4개/M.2 슬롯:1개/8ch/그래픽 출력:D-SUB,DVI,HDMI/PS/2:2개/USB 3.1 Gen 1:후면 4개/USB 3.1 Gen 2:후면 1개/기가비트 LAN/UEFI
ASRock H310CM-HDV/M.2 디앤디컴,1151v2,75000,인텔(소켓1151v2)/(인텔) H310/M-ATX (22.6x18.8cm)/전원부: 4페이즈/DDR4/메모리 용량:최대 32GB/XMP/VGA 연결:PCIe3.0 x16/PCIe 슬롯:3개/SATA3:4개/M.2 슬롯:1개/7.1CH/그래픽 출력:D-SUB,DVI,HDMI/PS/2:콤보 1개/USB 2.0:후면 4개/USB 3.1 Gen 1:후면 2개/기가비트 LAN/UEFI
ASUS TUF B350M-PLUS GAMING STCOM,AM4,121000,AMD(소켓AM4)/(AMD) B350/M-ATX (24.4x24.4cm)/DDR4/메모리 용량:최대 64GB/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X/PCIe 슬롯:4개/SATA3:6개/M.2 슬롯:1개/8ch/그래픽 출력:D-SUB,DVI,HDMI/PS/2:콤보 1개/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 4개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI
ASUS PRIME X299-A + 옵테인 메모리 16GB 코잇,2066,427700,인텔(소켓2066)/(인텔) X299/ATX (30.5x24.4cm)/전원부: 8페이즈/DDR4/메모리 용량:최대 128GB/옵테인/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X,SLI/SATA3:8개/M.2 슬롯:2개/8ch/PS/2: 없음/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 4개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI/LED 라이트/LED 헤더/AURA SYNC/옵테인 메모리 16GB 내장
ASUS X99-E-10G WS STCOM,2011-V3,1009500,인텔(소켓2011-V3)/(인텔) X99/Extended-ATX (30.5 x 26.7cm)/DDR4/메모리 용량:최대 128GB 이상/XMP/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X,SLI/SATA3:10개/M.2 슬롯:1개/U.2:1개/8ch/USB 3.1 Gen 1:후면 4개/USB 3.1 Gen 2:후면 2개/기가비트 LAN
ASRock H310M-HDV 에즈윈 (벌크),1151v2,68000,인텔(소켓1151v2)/(인텔) H310/M-ATX (19.1x18.8cm)/전원부: 5페이즈/DDR4/메모리 용량:최대 32GB/XMP/PCIe 슬롯:2개/SATA3:4개/7.1ch/그래픽 출력:D-SUB,DVI,HDMI/PS/2:콤보 1개/USB 2.0:후면 4개/USB 3.1 Gen 1:후면 2개/기가비트 LAN/UEFI
ASUS ROG MAXIMUS X HERO 코잇,1151v2,529500,인텔(소켓1151v2)/(인텔) Z370/ATX (30.5x24.4cm)/DDR4/메모리 용량:최대 64GB/XMP/옵테인/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X,SLI/PCIe 슬롯:6개/SATA3:6개/M.2 슬롯:2개/8ch/그래픽 출력:HDMI,DP/PS/2: 없음/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 4개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI/AURA SYNC
GIGABYTE Z370 AORUS Gaming 7-OP 제이씨현,1151v2,404220,인텔(소켓1151v2)/(인텔) Z370/ATX (30.5x24.4cm)/전원부: 10페이즈/DDR4/메모리 용량:최대 64GB/XMP/옵테인/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X,SLI/PCIe 슬롯:6개/SATA3:6개/M.2 슬롯:3개/8ch/그래픽 출력:HDMI,DP/PS/2:콤보 1개/USB 3.1 Gen 1:후면 5개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/듀얼 LAN/UEFI/VR Ready/LED 라이트/LED 헤더/RGB FUSION/옵테인 메모리 32GB 내장
GIGABYTE X299 AORUS Gaming 7 Pro 피씨디렉트,2066,630000,인텔(소켓2066)/(인텔) X299/ATX (30.5x24.4cm)/전원부: 12페이즈/DDR4/메모리 용량:최대 128GB/XMP/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X,SLI/PCIe 슬롯:5개/SATA3:8개/M.2 슬롯:3개/7.1ch/PS/2:콤보 1개/USB 3.1 Gen 1:후면 4개/USB 3.1 Gen 2:후면 5개/기가비트 LAN/무선 LAN/블루투스/UEFI/VR Ready/LED 라이트/LED 헤더/RGB FUSION
ASUS PRIME H310I-PLUS iBORA,1151v2,123140,인텔(소켓1151v2)/(인텔) H310/M-iTX (17.0x17.0cm)/전원부: 5페이즈/DDR4/메모리 용량:최대 32GB/XMP/PCIe 슬롯:1개/SATA3:4개/M.2 슬롯:1개/8ch/그래픽 출력:D-SUB,DVI,HDMI/PS/2:콤보 1개/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 2개/기가비트 LAN/UEFI
ASRock H310CM-DVS 디앤디컴 (벌크),1151v2,65000,인텔(소켓1151v2)/(인텔) H310/M-ATX (19.1x18.8cm)/전원부: 4페이즈/DDR4/메모리 용량:최대 32GB/XMP/PCIe 슬롯:2개/SATA3:4개/7.1ch/그래픽 출력:D-SUB,DVI/PS/2:콤보 1개/USB 2.0:후면 4개/USB 3.1 Gen 1:후면 2개/기가비트 LAN/UEFI
ASUS TUF X299 MARK1 + 옵테인 메모리 16GB 코잇,2066,430000,인텔(소켓2066)/(인텔) X299/ATX (30.5x24.4cm)/전원부: 8페이즈/DDR4/메모리 용량:최대 128GB/옵테인/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X,SLI/PCIe 슬롯:5개/SATA3:8개/M.2 슬롯:2개/8ch/PS/2: 없음/USB 2.0:후면 4개/USB 3.1 Gen 1:후면 4개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI/LED 라이트/LED 헤더/AURA SYNC/옵테인 메모리 16GB 내장
GIGABYTE X299 AORUS Gaming 3 Pro 피씨디렉트,2066,308100,텔(소켓2066)/(인텔) X299/ATX (30.5x24.4cm)/전원부: 8페이즈/DDR4/메모리 용량:최대 128GB/XMP/옵테인/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X,SLI/SATA3:8개/M.2 슬롯:2개/7.1ch/PS/2:콤보 1개/USB 3.1 Gen 1:후면 6개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI/VR Ready/LED 라이트/LED 헤더/RGB FUSION
ASUS Z10PE-D16 WS STCOM,2011-V3,675800,인텔(소켓2011-V3)/기타/Extended-ATX (30.5 x 33.0cm)/전원부: 9페이즈/DDR4/메모리 용량:최대 128GB 이상/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X/M.2 슬롯:1개/8ch/PS/2:콤보 1개/USB 2.0:후면 4개/USB 3.1 Gen 1:후면 4개/기가비트 LAN/UEFI
ASUS PRIME X299-A STCOM,2066,428000,인텔(소켓2066)/(인텔) X299/ATX (30.5x24.4cm)/전원부: 8페이즈/DDR4/메모리 용량:최대 128GB/옵테인/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X,SLI/SATA3:8개/M.2 슬롯:2개/8ch/PS/2: 없음/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 4개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI/LED 라이트/LED 헤더/AURA SYNC
ASRock H310M-HDV 디앤디컴 (벌크),1151v2,68370,인텔(소켓1151v2)/(인텔) H310/M-ATX (19.1x18.8cm)/전원부: 5페이즈/DDR4/메모리 용량:최대 32GB/XMP/PCIe 슬롯:2개/SATA3:4개/7.1ch/그래픽 출력:D-SUB,DVI,HDMI/PS/2:콤보 1개/USB 2.0:후면 4개/USB 3.1 Gen 1:후면 2개/기가비트 LAN/UEFI
GIGABYTE Z370 AORUS Gaming 7 제이씨현,1151v2,349000,인텔(소켓1151v2)/(인텔) Z370/ATX (30.5x24.4cm)/전원부: 10페이즈/DDR4/메모리 용량:최대 64GB/XMP/옵테인/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X,SLI/PCIe 슬롯:6개/SATA3:6개/M.2 슬롯:3개/8ch/그래픽 출력:HDMI,DP/PS/2:콤보 1개/USB 3.1 Gen 1:후면 5개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/듀얼 LAN/UEFI/VR Ready/LED 라이트/LED 헤더/RGB FUSION
ASUS PRIME H310I-PLUS STCOM,1151v2,109200,인텔(소켓1151v2)/(인텔) H310/M-iTX (17.0x17.0cm)/전원부: 5페이즈/DDR4/메모리 용량:최대 32GB/XMP/PCIe 슬롯:1개/SATA3:4개/M.2 슬롯:1개/8ch/그래픽 출력:D-SUB,DVI,HDMI/PS/2:콤보 1개/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 2개/기가비트 LAN/UEFI/VR Ready
ASUS TUF B450M-PLUS GAMING iBORA,AM4,136400,AMD(소켓AM4)/(AMD) B450/M-ATX (24.4x24.4cm)/전원부: 6페이즈/DDR4/메모리 용량:최대 64GB/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X/PCIe 슬롯:3개/SATA3:6개/M.2 슬롯:1개/8ch/그래픽 출력:DVI,HDMI/PS/2:콤보 1개/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 3개/USB 3.1 Gen 2:후면 1개/기가비트 LAN/UEFI/VR Ready/AMD APU 지원/LED 라이트/LED 헤더/AURA SYNC
GIGABYTE Z370 AORUS Gaming 5 제이씨현,1151v2,298330,인텔(소켓1151v2)/(인텔) Z370/ATX (30.5x24.4cm)/전원부: 11페이즈/DDR4/메모리 용량:최대 64GB/XMP/옵테인/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X,SLI/PCIe 슬롯:6개/SATA3:6개/M.2 슬롯:3개/8ch/그래픽 출력:HDMI,DP/PS/2:콤보 1개/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 4개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/무선 LAN/블루투스/UEFI/VR Ready/LED 라이트/LED 헤더/RGB FUSION
ASUS ROG CROSSHAIR VI HERO STCOM,AM4,368980,AMD(소켓AM4)/(AMD) X370/일반-ATX (30.5 x 24.4cm)/전원부: 12페이즈/DDR4/메모리 용량:최대 64GB/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X,SLI/PCIe 슬롯:6개/SATA3:8개/M.2 슬롯:1개/8ch/USB 2.0:후면 4개/USB 3.1 Gen 1:후면 8개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI/LED 라이트/LED 헤더/AURA SYNC
ASRock FATAL1TY Z370 Gaming-ITX/ac 에즈윈,1151v2,309860,인텔(소켓1151v2)/(인텔) Z370/M-iTX (17.0x17.0cm)/전원부: 7페이즈/DDR4/메모리 용량:최대 32GB/XMP/옵테인/VGA 연결:PCIe3.0 x16/SATA3:6개/M.2 슬롯:1개/7.1ch/그래픽 출력:HDMI,DP/PS/2:마우스 1개/USB 3.1 Gen 1:후면 5개/USB 3.1 Gen 2:후면 1개/기가비트 LAN/무선 LAN/블루투스/LED 라이트/LED 헤더
ASUS ROG STRIX X299-XE GAMING iBORA,2066,499000,인텔(소켓2066)/(인텔) X299/ATX (30.5x24.4cm)/DDR4/메모리 용량:최대 128GB/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X,SLI/PCIe 슬롯:6개/SATA3:8개/M.2 슬롯:2개/8ch/PS/2: 없음/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 4개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/무선 LAN/블루투스/UEFI/LED 라이트/LED 헤더/AURA SYNC
GIGABYTE Z370 HD3 듀러블에디션 피씨디렉트,1151v2,151000,인텔(소켓1151v2)/(인텔) Z370/ATX (30.5x22.5cm)/DDR4/메모리 용량:최대 64GB/XMP/옵테인/VGA 연결:PCIe3.0 x16/멀티 GPU: CrossFire/PCIe 슬롯:6개/SATA3:6개/M.2 슬롯:1개/7.1ch/그래픽 출력:DVI,HDMI/PS/2:콤보 1개/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 4개/기가비트 LAN/UEFI/LED 라이트/LED 헤더/RGB FUSION
ASRock H310CM-HDVP 디앤디컴 (벌크),1151v2,76000,인텔(소켓1151v2)/(인텔) H310/M-ATX (24.4x18.8cm)/전원부: 4페이즈/DDR4/메모리 용량:최대 32GB/XMP/VGA 연결:PCIe3.0 x16/SATA3:4개/M.2 슬롯:1개/7.1ch/그래픽 출력:D-SUB,DVI,HDMI/PS/2:2개/USB 2.0:후면 4개/USB 3.1 Gen 1:후면 2개/기가비트 LAN/UEFI
ASUS TUF H310M-PLUS GAMING iBORA,1151v2,79140,인텔(소켓1151v2)/(인텔) H310/M-ATX (22.6x20.8cm)/전원부: 5페이즈/DDR4/메모리 용량:최대 32GB/XMP/PCIe 슬롯:3개/SATA3:4개/M.2 슬롯:1개/8ch/그래픽 출력:DVI,HDMI/PS/2:2개/USB 2.0:후면 2개/USB 3.1 Gen 1:후면 2개/기가비트 LAN/UEFI/LED 라이트/LED 헤더/AURA SYNC
ASUS ROG MAXIMUS X APEX 코잇,1151v2,710000,인텔(소켓1151v2)/(인텔) Z370/E-ATX (30.5x27.2cm)/전원부: 10페이즈/DDR4/메모리 용량:최대 32GB/옵테인/VGA 연결:PCIe3.0 x16/멀티 GPU:CrossFire X,SLI/SATA3:4개/M.2 슬롯:2개/8ch/그래픽 출력:HDMI,DP/PS/2:2개/USB 3.1 Gen 1:후면 6개/USB 3.1 Gen 2:후면 2개/기가비트 LAN/UEFI/AURA SYNC
